"CUSTOMERNAME","Cluster"
"Land of Toys Inc.","cluster_0"
"Reims Collectables","cluster_0"
"Lyon Souveniers","cluster_0"
"Toys4GrownUps.com","cluster_0"
"Corporate Gift Ideas Co.","cluster_1"
"Technics Stores Inc.","cluster_0"
"Daedalus Designs Imports","cluster_3"
"Herkku Gifts","cluster_1"
"Mini Wheels Co.","cluster_3"
"Auto Canal Petit","cluster_1"
"Australian Collectors, Co.","cluster_0"
"Vitachrome Inc.","cluster_3"
"Tekni Collectables Inc.","cluster_0"
"Gift Depot Inc.","cluster_0"
"La Rochelle Gifts","cluster_0"
"Marta's Replicas Co.","cluster_0"
"Toys of Finland, Co.","cluster_3"
"Baane Mini Imports","cluster_1"
"Diecast Classics Inc.","cluster_0"
"Land of Toys Inc.","cluster_1"
"Salzburg Collectables","cluster_2"
"Souveniers And Things Co.","cluster_3"
"La Rochelle Gifts","cluster_3"
"FunGiftIdeas.com","cluster_0"
"UK Collectables, Ltd.","cluster_3"
"Euro Shopping Channel","cluster_2"
"Baane Mini Imports","cluster_1"
"Volvo Model Replicas, Co","cluster_2"
"Corrida Auto Replicas, Ltd","cluster_2"
"Technics Stores Inc.","cluster_2"
"Dragon Souveniers, Ltd.","cluster_2"
"Classic Legends Inc.","cluster_1"
"Australian Gift Network, Co","cluster_2"
"Classic Gift Ideas, Inc","cluster_1"
"Saveley & Henriot, Co.","cluster_2"
"Canadian Gift Exchange Network","cluster_2"
"West Coast Collectables Co.","cluster_1"
"Cambridge Collectables Co.","cluster_1"
"Super Scale Inc.","cluster_1"
"Tokyo Collectables, Ltd","cluster_2"
"Souveniers And Things Co.","cluster_1"
"Amica Models & Co.","cluster_2"
"Scandinavian Gift Ideas","cluster_2"
"Auto Assoc. & Cie.","cluster_2"
"Mini Gifts Distributors Ltd.","cluster_2"
"Online Diecast Creations Co.","cluster_1"
"Mini Wheels Co.","cluster_0"
"Australian Collectors, Co.","cluster_0"
"Mini Gifts Distributors Ltd.","cluster_1"
"Collectables For Less Inc.","cluster_1"
"Corporate Gift Ideas Co.","cluster_2"
"Anna's Decorations, Ltd","cluster_3"
"Quebec Home Shopping Network","cluster_0"
"Euro Shopping Channel","cluster_2"
"Land of Toys Inc.","cluster_0"
"Australian Collectors, Co.","cluster_0"
"Lyon Souveniers","cluster_0"
"Toys4GrownUps.com","cluster_1"
"Corporate Gift Ideas Co.","cluster_1"
"Technics Stores Inc.","cluster_0"
"Daedalus Designs Imports","cluster_1"
"Herkku Gifts","cluster_0"
"Mini Wheels Co.","cluster_0"
"Osaka Souveniers Co.","cluster_0"
"Australian Collectors, Co.","cluster_1"
"Motor Mint Distributors Inc.","cluster_0"
"Tekni Collectables Inc.","cluster_1"
"Gift Depot Inc.","cluster_1"
"La Rochelle Gifts","cluster_0"
"Marta's Replicas Co.","cluster_1"
"Atelier graphique","cluster_0"
"Mini Classics","cluster_0"
"Diecast Classics Inc.","cluster_1"
"Land of Toys Inc.","cluster_0"
"Tokyo Collectables, Ltd","cluster_0"
"Souveniers And Things Co.","cluster_3"
"Australian Gift Network, Co","cluster_1"
"FunGiftIdeas.com","cluster_3"
"Auto Canal Petit","cluster_1"
"Euro Shopping Channel","cluster_1"
"Land of Toys Inc.","cluster_1"
"Australian Collectors, Co.","cluster_2"
"Lyon Souveniers","cluster_2"
"Toys4GrownUps.com","cluster_1"
"Corporate Gift Ideas Co.","cluster_0"
"Technics Stores Inc.","cluster_0"
"Daedalus Designs Imports","cluster_2"
"Herkku Gifts","cluster_2"
"Mini Wheels Co.","cluster_2"
"Osaka Souveniers Co.","cluster_1"
"Australian Collectors, Co.","cluster_2"
"Vitachrome Inc.","cluster_2"
"Tekni Collectables Inc.","cluster_2"
